A;You are here.
B;Take the corridor to the left.
C;Go past the staircase in front of you, and take a right.
D;Go past the staircase in fron of you and take a left.
E;Follow the corridor all the way down.
F;Go into the first corridor on the right side.
G;Take a right at the end of the hallway.
A1;Take the elevator/staircase in front of you to the second floor and take a right.
B1;Take the elevator/staircase in front of you to the second floor and take a left.
C1;Follow the main corridor until the end and go into the last wing on the right.
D1;Go through the doors at the end of the hallway.
A2;Take the elevator/staircase to the third floor and take a right.
B2;Take the elevator/staircase to the third floor and take a left.
C2;Go to the third wing.
D2;Go to the forth wing.
E2;Go into the corridor on the right.
